Time Step,Load (kWh),Solar Production (kWh),Curtailment (kWh),Battery Charge (kWh),Battery Discharge (kWh),State of Charge (kWh),Lost Load (kWh),Generator Production (kWh),Generator Fuel Consumption (liters),Generator Efficiency (kWh/liter),Generator Load Factor (%)
23,16.22458082,0.0,0.0,0.0,2.5199613513905708,2.5199613513905708,2.1198525386094285,11.58476693,3.6658152740751477,3.1602156856970196,100.0
24,12.51536368,0.0,0.0,0.0,0.0,2.5199613513905708,0.9305967499999994,11.58476693,3.6658152740751477,3.1602156856970196,100.0
25,10.61384393,0.0,0.0,0.1063629699999976,0.0,2.6210061728905685,0.0,10.720206899999997,3.4509351318540142,3.1064643322462477,92.53709603979057
26,10.30907943,0.0,0.0,0.0,0.0,2.6210061728905685,0.0,10.30907943,3.348752372809956,3.0784836507184306,88.98823336103146
27,10.72796655,0.0,0.0,0.0,0.0,2.6210061728905685,0.0,10.72796655,3.4528637367371093,3.106976518030139,92.60407753408293
28,11.129304,0.0,0.0,0.45546293000000126,0.0,3.0536959563905697,0.0,11.58476693,3.6658152740751477,3.1602156856970196,100.0
29,11.87439753,0.0,0.0,0.0,0.28963059999999885,2.7785468863905707,0.0,11.58476693,3.6658152740751477,3.1602156856970196,100.0
30,11.85696223,0.0,0.0,0.0,0.2721952999999999,2.5199613513905708,0.0,11.58476693,3.6658152740751477,3.1602156856970196,100.0
31,9.614486967,0.15313428292571898,0.0,0.0,0.0,2.5199613513905708,0.0,9.46135268407428,3.138056021592821,3.015036257788625,81.67063473303972
32,7.88779005,1.1399996617803525,0.0,0.0,0.0,2.5199613513905708,0.0,6.747790388219648,2.4636197397545936,2.7389739899112064,58.24709663122801
33,8.161003867,4.457909125170931,0.0,0.0,0.0,2.5199613513905708,0.0,3.7030947418290685,1.7373043444468514,2.1315175741462355,31.96520710519869
34,8.545913217,7.452535102384991,0.0,0.0,0.0,2.5199613513905708,0.0,1.0933781146150094,1.1589058689908804,0.9434572245000973,9.438067431323018
35,8.91050645,8.91050645,0.7879981352955365,0.0,0.0,2.5199613513905708,0.0,0.0,0.9165775533433086,0.0,0.0
36,8.767652383,11.127757892602247,0.0,2.3601055096022474,0.0,4.762061585512706,0.0,0.0,0.9165775533433086,0.0,0.0
37,8.54736,11.06732135139057,0.7410333542148724,2.5199613513905708,0.0,7.1560248693337485,0.0,0.0,0.9165775533433086,0.0,0.0
38,9.44043225,11.689250263329884,0.0,2.248818013329883,0.0,9.292401981997138,0.0,0.0,0.9165775533433086,0.0,0.0
39,8.671567567,9.856332532362616,0.6248583878865954,1.1847649653626167,0.0,10.417928699091624,0.0,0.0,0.9165775533433086,0.0,0.0
40,7.928385033,8.898803330016783,0.0,0.9704182970167832,0.0,11.339826081257568,0.0,0.0,0.9165775533433086,0.0,0.0
41,8.106825483,6.4656697235303575,0.0,0.0,0.0,11.339826081257568,0.0,1.6411557594696422,1.2803112933840302,1.2818411959265414,14.16649786211661
42,8.513954783,3.7262675511924956,0.0,0.0,0.0,11.339826081257568,0.0,4.787687231807505,1.9776854786101459,2.4208537118713833,41.32743680331862
