Time Step,Load (kWh),Solar Production (kWh),Curtailment (kWh),Battery Charge (kWh),Battery Discharge (kWh),State of Charge (kWh),Lost Load (kWh),Generator Production (kWh)
96,9.79173615,0.0,0.0,0.0,0.0,0.0,0.0,9.79173615
97,6.789921033,0.0,0.0,0.0,0.0,0.0,0.0,6.789921033
98,10.70341155,0.0,0.0,0.0,0.0,0.0,0.0,10.70341155
99,11.47061705,0.0,0.0,0.0,0.0,0.0,0.0,11.47061705
100,11.6318666,0.0,0.0,0.0,0.0,0.0,0.0,11.6318666
101,11.7062463,0.0,0.0,0.0,0.0,0.0,0.0,11.7062463
102,7.7570111,0.0,0.0,0.0,0.0,0.0,0.0,7.7570111
103,7.076590783,0.12735003849081367,0.0,0.0,0.0,0.0,0.0,6.949240744509186
104,7.715893333,0.9041852732847769,0.0,0.0,0.0,0.0,0.0,6.811708059715223
105,8.630539883,3.2474259815157485,0.0,0.0,0.0,0.0,0.0,5.383113901484252
106,8.8908974,5.476051655104988,-8.881784197001252e-16,0.0,0.0,0.0,0.0,3.414845744895012
107,8.86780475,7.157072163183728,0.0,0.0,0.0,0.0,0.0,1.7107325868162713
108,8.25046195,8.175872471110237,0.0,0.0,0.0,0.0,0.0,0.07458947888976297
109,9.238662033,8.685272625073491,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.5533894079265096
110,9.354652283,8.621597605828086,0.0,0.0,0.0,0.0,0.0,0.7330546771719142
111,8.280625767,7.9466424018267725,0.0,0.0,0.0,0.0,0.0,0.3339833651732276
112,7.985132617,6.813227059258531,0.0,0.0,0.0,0.0,0.0,1.1719055577414688
113,8.1940871,4.9157114857454065,8.881784197001252e-16,0.0,0.0,0.0,0.0,3.2783756142545943
114,9.313684233,2.8399058583451446,0.0,0.0,0.0,0.0,0.0,6.473778374654856
115,12.75434467,0.9169202771338582,1.1102230246251565e-16,0.0,0.0,0.0,0.0,11.837424392866142
116,15.63581367,0.07641002309448819,1.3877787807814457e-17,0.0,0.0,0.0,1.8415883961365545,13.717815250768957
117,18.26168817,0.0,0.0,0.0,0.0,0.0,4.543872919231042,13.717815250768957
118,17.96676322,0.0,0.0,0.0,0.0,0.0,4.248947969231043,13.717815250768957
119,16.72883862,0.0,0.0,0.0,0.0,0.0,3.0110233692310437,13.717815250768957
120,8.838906433,0.0,0.0,0.0,0.0,0.0,0.0,8.838906433
121,9.854569033,0.0,0.0,0.0,0.0,0.0,0.0,9.854569033
122,10.21794805,0.0,0.0,0.0,0.0,0.0,0.0,10.21794805
123,10.69364913,0.0,0.0,0.0,0.0,0.0,0.0,10.69364913
124,10.94198563,0.0,0.0,0.0,0.0,0.0,0.0,10.94198563
125,11.4960981,0.0,0.0,0.0,0.0,0.0,0.0,11.4960981
126,10.99538185,0.0,0.0,0.0,0.0,0.0,0.0,10.99538185
127,7.478666017,0.11461503464173227,1.3877787807814457e-17,0.0,0.0,0.0,0.0,7.364050982358268
128,7.9233069,0.8150402463412074,0.0,0.0,0.0,0.0,0.0,7.108266653658792
129,8.850985983,3.3875110238556436,0.0,0.0,0.0,0.0,0.0,5.463474959144356
130,8.537748917,5.730751732086615,0.0,0.0,0.0,0.0,0.0,2.806997184913385
131,8.385048533,7.449977251712599,0.0,0.0,0.0,0.0,0.0,0.935071281287402
132,8.39902445,8.39902445,0.14616313273359616,0.0,0.0,0.0,0.0,0.0
133,9.029612483,9.029117728998688,0.0,0.0,0.0,0.0,0.0,0.0004947540013109375
134,9.594100883,8.965442709753281,0.0,0.0,0.0,0.0,0.0,0.628658173246718
135,8.934539933,8.341427521148296,0.0,0.0,0.0,0.0,0.0,0.5931124118517044
136,8.111820333,7.157072163183728,0.0,0.0,0.0,0.0,0.0,0.9547481698162725
137,8.779068567,5.3741716243123365,0.0,0.0,0.0,0.0,0.0,3.404896942687663
138,8.696933183,3.107340939175853,4.440892098500626e-16,0.0,0.0,0.0,0.0,5.589592243824148
139,11.5672106,0.8532452578884516,0.0,0.0,0.0,0.0,0.0,10.713965342111548
140,15.36246227,0.06367501924540683,0.0,0.0,0.0,0.0,1.5809719999856355,13.717815250768957
141,18.1993805,0.0,0.0,0.0,0.0,0.0,4.481565249231043,13.717815250768957
142,18.58526243,0.0,0.0,0.0,0.0,0.0,4.867447179231043,13.717815250768957
143,16.6360374,0.0,0.0,0.0,0.0,0.0,2.918222149231042,13.717815250768957
144,10.684722,0.0,0.0,0.0,0.0,0.0,0.0,10.684722
145,7.501212733,0.0,0.0,0.0,0.0,0.0,0.0,7.501212733
146,10.34066653,0.0,0.0,0.0,0.0,0.0,0.0,10.34066653
147,10.93515067,0.0,0.0,0.0,0.0,0.0,0.0,10.93515067
148,11.41283473,0.0,0.0,0.0,0.0,0.0,0.0,11.41283473
149,11.91564717,0.0,0.0,0.0,0.0,0.0,0.0,11.91564717
150,7.88292955,0.0,0.0,0.0,0.0,0.0,0.0,7.88292955
151,7.798153783,0.10188003079265093,0.0,0.0,0.0,0.0,0.0,7.696273752207349
152,8.22557895,0.7768352347939632,1.1102230246251565e-16,0.0,0.0,0.0,0.0,7.448743715206036
153,8.527672483,3.45118604310105,4.440892098500626e-16,0.0,0.0,0.0,0.0,5.07648643989895
154,8.399083083,5.858101770577428,8.881784197001252e-16,0.0,0.0,0.0,0.0,2.5409813124225726
155,8.51026375,7.653737313297901,0.0,0.0,0.0,0.0,0.0,0.856526436702099
156,8.182117767,8.182117767,0.5922998850170611,0.0,0.0,0.0,0.0,0.0
157,9.152285083,9.152285083,0.14426772682939593,0.0,0.0,0.0,0.0,0.0
158,9.516354283,9.23287779058399,0.0,0.0,0.0,0.0,0.0,0.2834764924160105
159,8.527798283,8.527798283,0.106534326677167,0.0,0.0,0.0,0.0,0.0
160,7.913191167,7.411772240165354,0.0,0.0,0.0,0.0,0.0,0.5014189268346456
161,8.3026042,5.59066668974672,0.0,0.0,0.0,0.0,0.0,2.7119375102532794
162,10.6610973,3.234690977666667,0.0,0.0,0.0,0.0,0.0,7.426406322333333
163,13.16069262,0.8023052424921261,0.0,0.0,0.0,0.0,0.0,12.358387377507874
